suburb,postcode,state
Corbie Hill,2705,NSW
Merungle Hill,2705,NSW
Stanbridge,2705,NSW
Leichhardt,2040,NSW
Lilyfield,2040,NSW
Annandale,2038,NSW
Rozelle,2039,NSW
Balmain,2041,NSW
Birchgrove,2041,NSW
Balmain East,2041,NSW
East Lismore,2480,NSW
Lismore,2480,NSW
Goonellabah,2480,NSW
South Lismore,2480,NSW
North Lismore,2480,NSW
Girards Hill,2480,NSW
Lismore Heights,2480,NSW
Loftville,2480,NSW
Howards Grass,2480,NSW
Lagoon Grass,2480,NSW
Chilcotts Grass,2480,NSW
Wyrallah,2480,NSW
South Gundurimba,2480,NSW
Caniaba,2480,NSW
Boat Harbour,2480,NSW
Richmond Hill,2480,NSW
Lindendale,2480,NSW
Tregeagle,2480,NSW
Monaltrie,2480,NSW
Tucki Tucki,2480,NSW
Keerrong,2480,NSW
Mountain Top,2480,NSW
Tuckurimba,2480,NSW
Modanville,2480,NSW
Whian Whian,2480,NSW
Repentance Creek,2480,NSW
Ruthven,2480,NSW
Nimbin,2480,NSW
Blue Knob,2480,NSW
Georgica,2480,NSW
Terania Creek,2480,NSW
Tuntable Creek,2480,NSW
Coffee Camp,2480,NSW
Koonorigan,2480,NSW
Jiggi,2480,NSW
Rock Valley,2480,NSW
Bungabbee,2480,NSW
Blakebrook,2480,NSW
Tullera,2480,NSW
Woodlawn,2480,NSW
Numulgi,2480,NSW
Dunoon,2480,NSW
Dorroughby,2480,NSW
Rosebank,2480,NSW
Corndale,2480,NSW
Pearces Creek,2477,NSW
Bexhill,2480,NSW
Fernside,2480,NSW
Tuncester,2480,NSW
North Woodburn,2471,NSW
Buckendoon,2472,NSW
Kilgin,2472,NSW
The Channon,2480,NSW
Eltham,2480,NSW
Dungarubba,2480,NSW
Green Forest,2471,NSW
Nightcap,2480,NSW
Goolmangar,2480,NSW
Leycester,2480,NSW
Bowenfels,2790,NSW
Hampton,2790,NSW
Sodwalls,2790,NSW
Running Stream,2850,NSW
Brogans Creek,2848,NSW
Upper Nile,2849,NSW
Palmers Oaky,2795,NSW
Hartley Vale,2790,NSW
Dargan,2786,NSW
Round Swamp,2846,NSW
Capertee,2846,NSW
Portland,2847,NSW
Little Hartley,2790,NSW
Ganbenang,2790,NSW
Wirraba,2849,NSW
Kanimbla,2790,NSW
Glen Davis,2846,NSW
Newnes,2790,NSW
Cullen Bullen,2790,NSW
Wollemi,2330,NSW
Dark Corner,2795,NSW
Wollangambe,2790,NSW
McKellars Park,2790,NSW
Bogee,2849,NSW
Mount Marsden,2849,NSW
South Littleton,2790,NSW
Oakey Park,2790,NSW
Vale Of Clwydd,2790,NSW
Corney Town,2790,NSW
Lidsdale,2790,NSW
Hermitage Flat,2790,NSW
Lithgow,2790,NSW
Cobar Park,2790,NSW
Pottery Estate,2790,NSW
Sheedys Gully,2790,NSW
Littleton,2790,NSW
South Bowenfels,2790,NSW
Morts Estate,2790,NSW
Wallerawang,2845,NSW
Marrangaroo,2790,NSW
Hassans Walls,2790,NSW
Clarence,2790,NSW
Newnes Plateau,2790,NSW
State Mine Gully,2790,NSW
Ben Bullen,2790,NSW
Springvale,2790,NSW
Hartley,2790,NSW
Glen Alice,2849,NSW
Dunville Loop,2849,NSW
Rydal,2790,NSW
Lowther,2790,NSW
Wolgan Valley,2790,NSW
Mount Lambie,2790,NSW
Doctors Gap,2790,NSW
Blackmans Flat,2790,NSW
Good Forest,2790,NSW
Busby,2168,NSW
Miller,2168,NSW
Casula,2170,NSW
Cartwright,2168,NSW
Heckenberg,2168,NSW
Sadleir,2168,NSW
Lurnea,2170,NSW
Ashcroft,2168,NSW
Liverpool,2170,NSW
Moorebank,2170,NSW
Warwick Farm,2170,NSW
Wattle Grove,2173,NSW
Chipping Norton,2170,NSW
Hammondville,2170,NSW
Prestons,2170,NSW
Voyager Point,2172,NSW
Pleasure Point,2172,NSW
West Hoxton,2171,NSW
Cecil Hills,2171,NSW
Hoxton Park,2171,NSW
Hinchinbrook,2168,NSW
Green Valley,2168,NSW
Horningsea Park,2171,NSW
Kemps Creek,2178,NSW
Austral,2179,NSW
Middleton Grange,2171,NSW
Edmondson Park,2174,NSW
Badgerys Creek,2555,NSW
Luddenham,2745,NSW
Greendale,2745,NSW
Wallacia,2745,NSW
Blackville,2343,NSW
Warrah Creek,2339,NSW
Big Jacks Creek,2339,NSW
Ardglen,2338,NSW
Willow Tree,2339,NSW
Werris Creek,2341,NSW
Quirindi,2343,NSW
Quipolly,2343,NSW
Wallabadah,2343,NSW
Pine Ridge,2343,NSW
Currabubula,2342,NSW
Bundella,2343,NSW
Braefield,2339,NSW
Warrah Ridge,2343,NSW
Yannergee,2343,NSW
Colly Blue,2343,NSW
Yarraman,2343,NSW
Coomoo Coomoo,2343,NSW
Windy,2343,NSW
Cattle Creek,2339,NSW
Parraweena,2339,NSW
Macdonalds Creek,2339,NSW
Little Jacks Creek,2339,NSW
Blandford,2338,NSW
Chilcotts Creek,2339,NSW
Gowrie,2340,NSW
Warrah,2339,NSW
Lockhart,2656,NSW
Cullivel,2645,NSW
Yerong Creek,2642,NSW
Milbrulong,2656,NSW
The Rock,2655,NSW
Boree Creek,2652,NSW
Osborne,2656,NSW
Fargunyah,2656,NSW
Urana,2645,NSW
Urangeline,2656,NSW
Bidgeemia,2642,NSW
Urangeline East,2656,NSW
Pleasant Hills,2658,NSW
Ryan,2658,NSW
Munyabla,2658,NSW
Wrathall,2642,NSW
French Park,2655,NSW
Tootool,2655,NSW
Gillieston Heights,2321,NSW
Lambs Valley,2335,NSW
Mindaribba,2320,NSW
Metford,2323,NSW
Lochinvar,2321,NSW
Woodberry,2322,NSW
Maitland,2320,NSW
Windella,2320,NSW
Harpers Hill,2321,NSW
Thornton,2322,NSW
Anambah,2320,NSW
Rutherford,2320,NSW
South Maitland,2320,NSW
East Maitland,2323,NSW
Louth Park,2320,NSW
Woodville,2321,NSW
Farley,2320,NSW
Bolwarra,2320,NSW
Rosebrook,2320,NSW
Berry Park,2321,NSW
Morpeth,2321,NSW
Millers Forest,2324,NSW
Duckenfield,2321,NSW
Oswald,2321,NSW
Melville,2320,NSW
Phoenix Park,2321,NSW
Luskintyre,2321,NSW
Gosforth,2320,NSW
Lorn,2320,NSW
Bolwarra Heights,2320,NSW
Telarah,2320,NSW
Raworth,2321,NSW
Ashtonfield,2323,NSW
Aberglasslyn,2320,NSW
Tenambit,2323,NSW
Hillsborough,2320,NSW
Largs,2320,NSW
Pitnacree,2323,NSW
Horseshoe Bend,2320,NSW
Mount Dee,2320,NSW
Windermere,2321,NSW
Chisholm,2322,NSW
Oakhampton Heights,2320,NSW
Oakhampton,2320,NSW
Maitland Vale,2320,NSW
Seaforth,2092,NSW
Balgowlah,2093,NSW
Balgowlah Heights,2093,NSW
Fairlight,2094,NSW
Manly,2095,NSW
Clontarf,2093,NSW
Dulwich Hill,2203,NSW
Marrickville,2204,NSW
Lewisham,2049,NSW
Petersham,2049,NSW
Tempe,2044,NSW
Stanmore,2048,NSW
Sydenham,2044,NSW
St Peters,2044,NSW
Enmore,2042,NSW
Newtown,2042,NSW
Camperdown,2050,NSW
Green Gully,2850,NSW
Windeyer,2850,NSW
Gulgong,2852,NSW
Mudgee,2850,NSW
Stubbo,2852,NSW
Linburn,2850,NSW
Stony Creek,2850,NSW
Turill,2850,NSW
Bara,2850,NSW
Yarrabin,2850,NSW
Cudgegong,2850,NSW
Tallawang,2852,NSW
Cope,2852,NSW
Bombira,2850,NSW
Beryl,2852,NSW
Mebul,2852,NSW
Birriwa,2844,NSW
Merotherie,2852,NSW
Barneys Reef,2852,NSW
Moolarben,2850,NSW
Cumbo,2850,NSW
Mogo,2850,NSW
Ulan,2850,NSW
Wilpinjong,2850,NSW
Wollar,2850,NSW
Yarrawonga,2850,NSW
Cumbandry,2852,NSW
Home Rule,2850,NSW
Frog Rock,2850,NSW
St Fillans,2850,NSW
Eurunderee,2850,NSW
Apple Tree Flat,2850,NSW
Meroo,2850,NSW
Carcalgong,2850,NSW
Bocoble,2850,NSW
Pyramul,2850,NSW
Hargraves,2850,NSW
Bungaba,2852,NSW
Twelve Mile,2850,NSW
Worlds End,2850,NSW
Menah,2850,NSW
Burrundulla,2850,NSW
Spring Flat,2850,NSW
Mount Knowles,2850,NSW
Barigan,2850,NSW
Tichular,2850,NSW
Avisford,2850,NSW
Buckaroo,2850,NSW
Totnes Valley,2850,NSW
Erudgere,2850,NSW
Budgee Budgee,2850,NSW
Botobolar,2850,NSW
Cooyal,2850,NSW
Cross Roads,2850,NSW
Hayes Gap,2850,NSW
Lue,2850,NSW
Mount Frome,2850,NSW
Galambine,2850,NSW
Cullenbone,2850,NSW
Wilbetree,2850,NSW
Triamble,2850,NSW
Grattai,2850,NSW
Maitland Bar,2850,NSW
Goolma,2852,NSW
Two Mile Flat,2852,NSW
Queens Pinch,2850,NSW
Milroy,2850,NSW
Putta Bucca,2850,NSW
Munghorn,2850,NSW
Kains Flat,2850,NSW
Piambong,2850,NSW
Cooks Gap,2850,NSW
Collingwood,2850,NSW
Kandos,2848,NSW
Rylstone,2849,NSW
Bylong,2849,NSW
Murrumbo,2849,NSW
Lee Creek,2849,NSW
Coggan,2849,NSW
Budden,2849,NSW
Nullo Mountain,2849,NSW
Ginghi,2849,NSW
Upper Growee,2849,NSW
Pyangle,2849,NSW
Monivae,2850,NSW
Pinnacle Swamp,2849,NSW
Coxs Crown,2849,NSW
Olinda,2849,NSW
Clandulla,2848,NSW
Dabee,2849,NSW
Charbon,2848,NSW
Ilford,2850,NSW
Aarons Pass,2850,NSW
Carwell,2849,NSW
Camboon,2849,NSW
Breakfast Creek,2849,NSW
Growee,2849,NSW
Weemelah,2406,NSW
Bullarah,2400,NSW
Collarenebri,2833,NSW
Rowena,2387,NSW
Mallowa,2400,NSW
Millie,2397,NSW
Gurley,2398,NSW
Boomi,2405,NSW
Moree,2400,NSW
Berrigal,2390,NSW
Terry Hie Hie,2400,NSW
Garah,2405,NSW
Ashley,2400,NSW
Mungindi,2406,NSW
Boggabilla,2409,NSW
Biniguy,2399,NSW
Bellata,2397,NSW
Mosman,2088,NSW
Cremorne Point,2090,NSW
Moama,2731,NSW
Calimo,2710,NSW
Thule,2732,NSW
Mathoura,2710,NSW
Bullatale,2710,NSW
Caldwell,2710,NSW
Tantonan,2731,NSW
Womboota,2731,NSW
Aratula,2714,NSW
Bunnaloo,2731,NSW
Steam Plains,2710,NSW
Darlington Point,2706,NSW
McCullys Gap,2333,NSW
Bowmans Creek,2330,NSW
Jerrys Plains,2330,NSW
Denman,2328,NSW
Bengalla,2333,NSW
Muswellbrook,2333,NSW
Baerami Creek,2333,NSW
Hebden,2330,NSW
Edderton,2333,NSW
Muscle Creek,2333,NSW
Kayuga,2333,NSW
Manobalai,2333,NSW
Castle Rock,2333,NSW
Giants Creek,2328,NSW
Wybong,2333,NSW
Mangoola,2328,NSW
Sandy Hollow,2333,NSW
Hollydeen,2328,NSW
Bureen,2328,NSW
Dalswinton,2328,NSW
Martindale,2328,NSW
Widden,2328,NSW
Kerrabee,2328,NSW
Baerami,2333,NSW
Yarrawa,2328,NSW
Rouchel Brook,2336,NSW
Nambucca Heads,2448,NSW
Scotts Head,2447,NSW
Killiekrankie,2449,NSW
Thumb Creek,2447,NSW
Upper Taylors Arm,2447,NSW
Bakers Creek,2447,NSW
Allgomera,2441,NSW
Way Way,2447,NSW
Hyland Park,2448,NSW
Valla Beach,2448,NSW
Gumma,2447,NSW
North Macksville,2447,NSW
Burrapine,2447,NSW
Buckra Bendinni,2449,NSW
Argents Hill,2449,NSW
Girralong,2449,NSW
Tewinga,2449,NSW
Eungai Creek,2441,NSW
Macksville,2447,NSW
Wirrimbi,2447,NSW
Tamban,2441,NSW
Newee Creek,2447,NSW
Bowraville,2449,NSW
Taylors Arm,2447,NSW
South Arm,2449,NSW
Missabotti,2449,NSW
Congarinni North,2447,NSW
Warrell Creek,2447,NSW
Congarinni,2447,NSW
Utungun,2447,NSW
Eungai Rail,2441,NSW
Yarranbella,2447,NSW
Talarm,2447,NSW
Bulyeroi,2387,NSW
Spring Plains,2388,NSW
Wee Waa,2388,NSW
Jacks Creek,2390,NSW
Narrabri,2390,NSW
Eulah Creek,2390,NSW
Maules Creek,2382,NSW
Harparary,2390,NSW
Baan Baa,2390,NSW
Bohena Creek,2390,NSW
Gwabegar,2356,NSW
Couradda,2390,NSW
Merah North,2388,NSW
Tarriaro,2390,NSW
Turrawan,2390,NSW
Bullawa Creek,2390,NSW
Kaputar,2390,NSW
Yarrie Lake,2388,NSW
Drildool,2386,NSW
Cuttabri,2388,NSW
Jews Lagoon,2397,NSW
Nowley,2386,NSW
Boolcarroll,2388,NSW
Corobimilla,2700,NSW
Sandigo,2700,NSW
Moombooldool,2665,NSW
Galore,2650,NSW
Grong Grong,2652,NSW
Narrandera,2700,NSW
Brobenah,2705,NSW
Colinroobie,2700,NSW
Morundah,2700,NSW
Gillenbah,2700,NSW
Landervale,2652,NSW
Narromine,2821,NSW
Trangie,2823,NSW
Tomingley,2869,NSW
Burroway,2821,NSW
Dandaloo,2823,NSW
Gin Gin,2823,NSW
Bundemar,2823,NSW
Merewether,2291,NSW
Mayfield West,2304,NSW
Mayfield,2304,NSW
Wickham,2293,NSW
Maryville,2293,NSW
Merewether Heights,2291,NSW
The Junction,2291,NSW
Carrington,2294,NSW
Mayfield North,2304,NSW
Stockton,2295,NSW
The Hill,2300,NSW
Newcastle West,2302,NSW
Kooragang,2304,NSW
Newcastle East,2300,NSW
Newcastle,2300,NSW
Bar Beach,2300,NSW
Islington,2296,NSW
Warabrook,2304,NSW
Tighes Hill,2297,NSW
Cooks Hill,2300,NSW
Mayfield East,2304,NSW
Beresfield,2322,NSW
Maryland,2287,NSW
Elermore Vale,2287,NSW
Wallsend,2287,NSW
Jesmond,2299,NSW
Birmingham Gardens,2287,NSW
Sandgate,2304,NSW
Shortland,2307,NSW
Tarro,2322,NSW
Minmi,2287,NSW
Hexham,2322,NSW
Fletcher,2287,NSW
Lenaghan,2322,NSW
Callaghan,2308,NSW
Hamilton East,2303,NSW
Kotara,2289,NSW
Lambton,2299,NSW
Hamilton South,2303,NSW
North Lambton,2299,NSW
New Lambton,2305,NSW
Waratah West,2298,NSW
Adamstown,2289,NSW
Waratah,2298,NSW
Georgetown,2298,NSW
Hamilton North,2292,NSW
Hamilton,2303,NSW
Broadmeadow,2292,NSW
Waverton,2060,NSW
Wollstonecraft,2065,NSW
Neutral Bay,2089,NSW
Kirribilli,2061,NSW
Crows Nest,2065,NSW
Milsons Point,2061,NSW
Cammeray,2062,NSW
North Sydney,2060,NSW
Lavender Bay,2060,NSW
Kurraba Point,2089,NSW
McMahons Point,2060,NSW
Cremorne,2090,NSW
Burraga,2795,NSW
Isabella,2795,NSW
Rockley,2795,NSW
Shooters Hill,2787,NSW
Porters Retreat,2787,NSW
Mozart,2787,NSW
Arkstone,2795,NSW
Black Springs,2787,NSW
Judds Creek,2795,NSW
Mount David,2795,NSW
Jeremy,2795,NSW
Gingkin,2787,NSW
Jaunter,2787,NSW
Edith,2787,NSW
Chatham Valley,2787,NSW
Norway,2787,NSW
Oberon,2787,NSW
Dog Rocks,2795,NSW
Essington,2787,NSW
Twenty Forests,2795,NSW
Mayfield,2787,NSW
Hazelgrove,2787,NSW
The Meadows,2787,NSW
Duckmaloi,2787,NSW
Wiarborough,2580,NSW
Kanangra,2787,NSW
Mount Olive,2787,NSW
Gurnang,2787,NSW
Mount Werong,2787,NSW
Jenolan,2790,NSW
Ballyroe,2795,NSW
Paling Yards,2580,NSW
Jerrong,2580,NSW
Lucknow,2800,NSW
Spring Creek,2800,NSW
Spring Hill,2800,NSW
Huntley,2800,NSW
Shadforth,2800,NSW
Forbes Creek,2621,NSW
Yarrow,2620,NSW
Urila,2620,NSW
Googong,2620,NSW
Lake George,2581,NSW
Rossi,2621,NSW
Hoskinstown,2621,NSW
Captains Flat,2623,NSW
Bungendore,2621,NSW
Royalla,2620,NSW
Bywong,2621,NSW
Sutton,2620,NSW
Carwoola,2620,NSW
Wamboin,2620,NSW
Primrose Valley,2621,NSW
Jembaicumbene,2622,NSW
Braidwood,2622,NSW
Jinden,2622,NSW
Snowball,2622,NSW
Hereford Hall,2622,NSW
Back Creek,2622,NSW
Mongarlowe,2622,NSW
Monga,2622,NSW
Mulloon,2622,NSW
Farringdon,2622,NSW
Harolds Cross,2622,NSW
Kindervale,2622,NSW
Palerang,2622,NSW
Bombay,2622,NSW
Northangera,2622,NSW
Majors Creek,2622,NSW
Berlang,2622,NSW
Wyanbene,2622,NSW
Jerrabattgulla,2622,NSW
Manar,2622,NSW
Warri,2622,NSW
Boro,2622,NSW
Collector,2581,NSW
Currawang,2580,NSW
Bendoura,2622,NSW
Mayfield,2580,NSW
Marlowe,2622,NSW
Corang,2622,NSW
Wog Wog,2622,NSW
Charleys Forest,2622,NSW
Durran Durra,2622,NSW
Araluen,2622,NSW
Nerriga,2622,NSW
Budawang,2622,NSW
Tomboye,2622,NSW
Cooks Myalls,2870,NSW
Goonumbla,2870,NSW
Parkes,2870,NSW
Peak Hill,2869,NSW
Trundle,2875,NSW
Bogan Gate,2876,NSW
Nelungaloo,2876,NSW
Bruie Plains,2875,NSW
Gunningbland,2876,NSW
Trewilga,2869,NSW
Harris Park,2150,NSW
Rosehill,2142,NSW
Clyde,2142,NSW
Rydalmere,2116,NSW
Camellia,2142,NSW
Telopea,2117,NSW
Dundas,2117,NSW
Dundas Valley,2117,NSW
Ermington,2115,NSW
Melrose Park,2114,NSW
Old Toongabbie,2146,NSW
Constitution Hill,2145,NSW
South Granville,2142,NSW
Kingswood,2747,NSW
Cambridge Park,2747,NSW
Cambridge Gardens,2747,NSW
Werrington Downs,2747,NSW
Londonderry,2753,NSW
Werrington County,2747,NSW
Werrington,2747,NSW
St Clair,2759,NSW
St Marys,2760,NSW
North St Marys,2760,NSW
Colyton,2760,NSW
Oxley Park,2760,NSW
Erskine Park,2759,NSW
Mulgoa,2745,NSW
Caddens,2747,NSW
Jordan Springs,2747,NSW
Berkshire Park,2765,NSW
Llandilo,2747,NSW
Claremont Meadows,2747,NSW
Mount Vernon,2178,NSW
Orchard Hills,2748,NSW
Emu Heights,2750,NSW
Emu Plains,2750,NSW
Leonay,2750,NSW
Glenmore Park,2745,NSW
Regentville,2745,NSW
Jamisontown,2750,NSW
Penrith,2750,NSW
South Penrith,2750,NSW
Cranebrook,2749,NSW
Castlereagh,2749,NSW
North Narrabeen,2101,NSW
Warriewood,2102,NSW
Mona Vale,2103,NSW
Bayview,2104,NSW
Newport,2106,NSW
Bilgola Plateau,2107,NSW
Avalon Beach,2107,NSW
Whale Beach,2107,NSW
Great Mackerel Beach,2108,NSW
Lovett Bay,2105,NSW
Morning Bay,2105,NSW
Church Point,2105,NSW
Ingleside,2101,NSW
Bilgola Beach,2107,NSW
Palm Beach,2108,NSW
Scotland Island,2105,NSW
Clareville,2107,NSW
Elanora Heights,2101,NSW
Elvina Bay,2105,NSW
Ku-Ring-Gai Chase,2084,NSW
Raymond Terrace,2324,NSW
Medowie,2318,NSW
Port Stephens,2324,NSW
Tanilba Bay,2319,NSW
Tilligerry Creek,2319,NSW
Mallabula,2319,NSW
Lemon Tree Passage,2319,NSW
Soldiers Point,2317,NSW
Salamander Bay,2317,NSW
Anna Bay,2316,NSW
Fishermans Bay,2316,NSW
Corlette,2315,NSW
Boat Harbour,2316,NSW
Nelson Bay,2315,NSW
Fingal Bay,2315,NSW
Shoal Bay,2315,NSW
Taylors Beach,2316,NSW
One Mile,2316,NSW
Bobs Farm,2319,NSW
Salt Ash,2318,NSW
Fullerton Cove,2318,NSW
Williamtown,2314,NSW
Fern Bay,2295,NSW
Tomago,2322,NSW
Heatherbrae,2324,NSW
Nelsons Plains,2324,NSW
Ferodale,2318,NSW
Osterley,2324,NSW
Hinton,2321,NSW
Wallalong,2320,NSW
Butterwick,2321,NSW
Seaham,2324,NSW
Brandy Hill,2324,NSW
Duns Creek,2321,NSW
East Seaham,2324,NSW
Eagleton,2324,NSW
Balickera,2324,NSW
Swan Bay,2324,NSW
Campvale,2318,NSW
Twelve Mile Creek,2324,NSW
Queanbeyan West,2620,NSW
Crestwood,2620,NSW
Karabar,2620,NSW
Jerrabomberra,2619,NSW
Queanbeyan,2620,NSW
Queanbeyan East,2620,NSW
Tralee,2620,NSW
Greenleigh,2620,NSW
The Ridgeway,2620,NSW
Kensington,2033,NSW
Kingsford,2032,NSW
Maroubra,2035,NSW
Matraville,2036,NSW
Clovelly,2031,NSW
Phillip Bay,2036,NSW
Randwick,2031,NSW
Little Bay,2036,NSW
Chifley,2036,NSW
Centennial Park,2021,NSW
Malabar,2036,NSW
Coogee,2034,NSW
South Coogee,2034,NSW
La Perouse,2036,NSW
Port Botany,2036,NSW
Casino,2470,NSW
Bexley North,2207,NSW
Bexley,2207,NSW
Bardwell Park,2207,NSW
Arncliffe,2205,NSW
Rockdale,2216,NSW
Bardwell Valley,2207,NSW
Banksia,2216,NSW
Sandringham,2219,NSW
Turrella,2205,NSW
Brighton-le-Sands,2216,NSW
Wolli Creek,2205,NSW
Kyeemagh,2216,NSW
Monterey,2217,NSW
Dolls Point,2219,NSW
Ramsgate Beach,2217,NSW
West Ryde,2114,NSW
Denistone,2114,NSW
Denistone East,2112,NSW
Ryde,2112,NSW
Marsfield,2122,NSW
Putney,2112,NSW
North Ryde,2113,NSW
Tennyson Point,2111,NSW
East Ryde,2113,NSW
Chatswood West,2067,NSW
Macquarie Park,2113,NSW
Denistone West,2114,NSW
Meadowbank,2114,NSW
Blackbutt,2529,NSW
Flinders,2529,NSW
Shellharbour,2529,NSW
Warilla,2528,NSW
Barrack Heights,2528,NSW
Oak Flats,2529,NSW
Mount Warrigal,2528,NSW
Lake Illawarra,2528,NSW
Albion Park,2527,NSW
Albion Park Rail,2527,NSW
Shell Cove,2529,NSW
Barrack Point,2528,NSW
Shellharbour City Centre,2529,NSW
Dunmore,2529,NSW
North Macquarie,2527,NSW
Tullimbar,2527,NSW
Numbaa,2540,NSW
South Nowra,2541,NSW
Comberton,2540,NSW
Nowra,2541,NSW
North Nowra,2541,NSW
Watersleigh,2540,NSW
Mayfield,2540,NSW
Brundee,2540,NSW
Bolong,2540,NSW
Bomaderry,2541,NSW
Longreach,2540,NSW
Terara,2540,NSW
Worrigee,2540,NSW
West Nowra,2541,NSW
Cambewarra,2540,NSW
Meroo Meadow,2540,NSW
Jaspers Brush,2535,NSW
Nowra Hill,2540,NSW
Tapitallee,2540,NSW
Mundamia,2540,NSW
Bamarang,2540,NSW
Cambewarra Village,2540,NSW
Bangalee,2541,NSW
Yerriyong,2540,NSW
Parma,2540,NSW
Beaumont,2577,NSW
Pyree,2540,NSW
Burrill Lake,2539,NSW
Old Erowal Bay,2540,NSW
Callala Bay,2540,NSW
Ulladulla,2539,NSW
Currarong,2540,NSW
Durras North,2536,NSW
Ettrema,2540,NSW
Tallowal,2540,NSW
Kangaroo Valley,2577,NSW
Barrengarry,2577,NSW
Sussex Inlet,2540,NSW
Budgong,2577,NSW
Beecroft Peninsula,2540,NSW
Mollymook Beach,2539,NSW
Orient Point,2540,NSW
Lake Conjola,2539,NSW
Vincentia,2540,NSW
Milton,2538,NSW
Cunjurong Point,2539,NSW
Callala Beach,2540,NSW
Sanctuary Point,2540,NSW
Falls Creek,2540,NSW
Huskisson,2540,NSW
Bendalong,2539,NSW
Woollamia,2540,NSW
Culburra Beach,2540,NSW
Mollymook,2539,NSW
Shoalhaven Heads,2535,NSW
St Georges Basin,2540,NSW
Greenwell Point,2540,NSW
Berry,2535,NSW
Cudmirrah,2540,NSW
Manyana,2539,NSW
Lake Tabourie,2539,NSW
Basin View,2540,NSW
Kings Point,2539,NSW
Woodstock,2538,NSW
Berrara,2540,NSW
Tullarwalla,2540,NSW
Wollumboola,2540,NSW
Hyams Beach,2540,NSW
Bellawongarah,2535,NSW
Narrawallee,2539,NSW
Tomerong,2540,NSW
Kioloa,2539,NSW
Bawley Point,2539,NSW
Worrowing Heights,2540,NSW
Erowal Bay,2540,NSW
Wandandian,2540,NSW
Kinghorne,2540,NSW
Broughton Vale,2535,NSW
Far Meadow,2535,NSW
Coolangatta,2535,NSW
Woodburn,2538,NSW
Jerrawangala,2540,NSW
Wrights Beach,2540,NSW
Mogood,2538,NSW
Fishermans Paradise,2539,NSW
Touga,2622,NSW
Conjola Park,2539,NSW
Sassafras,2622,NSW
Broughton,2535,NSW
St George,2622,NSW
Pretty Beach,2539,NSW
Morton,2538,NSW
Yadboro,2539,NSW
Termeil,2539,NSW
Brooman,2538,NSW
Yatte Yattah,2539,NSW
Comerong Island,2540,NSW
Conjola,2539,NSW
Croobyar,2539,NSW
Little Forest,2538,NSW
Pointer Mountain,2539,NSW
Red Rocks,2577,NSW
Endrick,2622,NSW
Depot Beach,2536,NSW
Pebbly Beach,2536,NSW
Dolphin Point,2539,NSW
Swanhaven,2540,NSW
Tolwong,2622,NSW
Coolumburra,2622,NSW
Bulee,2622,NSW
Bundewallah,2535,NSW
Back Forest,2535,NSW
Bream Beach,2540,NSW
Brogers Creek,2535,NSW
Myola,2540,NSW
Bewong,2540,NSW
Quiera,2622,NSW
Wattamolla,2535,NSW
Berry Mountain,2535,NSW
Browns Mountain,2540,NSW
Berringer Lake,2539,NSW
Yalwal,2540,NSW
Porters Creek,2538,NSW
Mount Kingiman,2539,NSW
Boolijah,2540,NSW
Cockwhy,2539,NSW
Twelve Mile Peg,2540,NSW
Tianjara,2622,NSW
Buangla,2540,NSW
Barringella,2540,NSW
Burrier,2540,NSW
St Clair,2330,NSW
Mount Olive,2330,NSW
Falbrook,2330,NSW
Singleton Heights,2330,NSW
Singleton,2330,NSW
Dyrring,2330,NSW
Sedgefield,2330,NSW
Mitchells Flat,2330,NSW
Garland Valley,2330,NSW
Howes Valley,2330,NSW
Doyles Creek,2330,NSW
Dural,2330,NSW
Appletree Flat,2330,NSW
Milbrodale,2330,NSW
Bulga,2330,NSW
Broke,2330,NSW
Fordwich,2330,NSW
Singleton Military Area,2331,NSW
Belford,2335,NSW
Howick,2330,NSW
Liddell,2333,NSW
Ravensworth,2330,NSW
Mount Royal,2330,NSW
Goorangoola,2330,NSW
Mirannie,2330,NSW
Dalwood,2335,NSW
Stanhope,2335,NSW
Carrowbrook,2330,NSW
Greenlands,2330,NSW
Glennies Creek,2330,NSW
Rixs Creek,2330,NSW
Obanvale,2330,NSW
Camberwell,2330,NSW
Gouldsville,2330,NSW
Long Point,2330,NSW
Lemington,2330,NSW
Reedy Creek,2330,NSW
Westbrook,2330,NSW
Bridgman,2330,NSW
Glendon Brook,2330,NSW
Leconfield,2335,NSW
Elderslie,2335,NSW
Clydesdale,2330,NSW
Big Ridge,2330,NSW
Roughit,2330,NSW
Scotts Flat,2330,NSW
Glendon,2330,NSW
Maison Dieu,2330,NSW
Gowrie,2330,NSW
Glenridding,2330,NSW
Hambledon Hill,2330,NSW
Wylies Flat,2330,NSW
Mount Thorley,2330,NSW
Lower Belford,2335,NSW
Whittingham,2330,NSW
Redbournberry,2330,NSW
Dunolly,2330,NSW
Darlington,2330,NSW
McDougalls Hill,2330,NSW
Hunterview,2330,NSW
Fern Gully,2330,NSW
Wattle Ponds,2330,NSW
Middle Falbrook,2330,NSW
Jindabyne,2627,NSW
Beloka,2628,NSW
Braemar Bay,2628,NSW
Buckenderra,2630,NSW
Frying Pan,2630,NSW
Numbla Vale,2628,NSW
Cootralantra,2628,NSW
Berridale,2628,NSW
Rhine Falls,2630,NSW
Arable,2630,NSW
Eucumbene,2628,NSW
Rocky Plain,2628,NSW
Adaminaby,2629,NSW
Bobundara,2630,NSW
Wambrook,2630,NSW
The Brothers,2630,NSW
